path,type,size,mode,uid,gid,mtime,scope,install_class,source,source_reference,sha256,notes
/etc/upkeep,file,18290,4750,0,0,469762988,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/upkeep,52aa26b0124b84776281f20c53defaba1447de68799da18044c8bb0c8919ec5f,mode/uid/gid recovered from parent .contents
/etc/utmp,file,120,0644,3,0,664328480,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/utmp,80d16d5b8305c2a66f72a9e6bcc7887d4126571ca12abfa8e9e46fbb3a1a7f30,mode/uid/gid recovered from parent .contents
/etc/wall,file,5800,4750,3,0,469762989,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/wall,ac325274d34cd9a1885c8f00ff0ae9abc3cecc3b69e9ae9e40630ddbea92a888,mode/uid/gid recovered from parent .contents
/etc/wbz,file,10478,0700,0,0,469763000,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/wbz,6b3db2dc2d27b3728cd2c7114e36ec4cea37baa689ed31461a6bd11a348b03bc,mode/uid/gid recovered from parent .contents
/etc/whois,file,54,0600,508,20,661837293,common-installed-snapshot,unclassified-installed-snapshot,S8000-2.tar,etc/whois,d7e9143dd55d0f66d7d84fa8b066ece073ff6c96a1cdb2d672cc15907bf9003a,metadata from modern tar wrapper
/lib,directory,0,0700,508,20,1498803204,common-installed-snapshot,base-dump-structural,S8000-2.tar,lib,,metadata from modern tar wrapper
/lib/.contents,file,572,0664,3,0,469763345,common-installed-snapshot,base-dump-inventory,S8000-2.tar,lib/.contents,d8afe70365469c57a17827b63910b6012b20a915ff174eac295094ebfdbb7d7c,mode/uid/gid recovered from parent .contents
/lib/clist,file,5918,0751,3,0,469762955,common-installed-snapshot,base-dump-inventory,S8000-2.tar,lib/clist,9e21af0f8fe560783712ea2591a952a303055b9f05f7299eccdf8b5b8455d200,mode/uid/gid recovered from parent .contents
/lib/cnvt.o,file,732,0644,3,0,469762956,common-installed-snapshot,base-dump-inventory,S8000-2.tar,lib/cnvt.o,a86a85563128554b70cb0432fde1bd3c14027fbf5903df3f37702985c27cdf7d,mode/uid/gid recovered from parent .contents
/lib/codgen,file,79094,0751,3,0,534373984,common-installed-snapshot,base-dump-inventory,S8000-2.tar,lib/codgen,ed236affb42a4c09da292417d28518b5cb0225f6d101207095a39c2cae0858e3,mode/uid/gid recovered from parent .contents
/lib/cparse,file,83926,0751,3,0,534373949,common-installed-snapshot,base-dump-inventory,S8000-2.tar,lib/cparse,2cec3fbf9275e385b27fcf7262337b59aea8fc8937a4a72c3cfd171ae4e867bd,mode/uid/gid recovered from parent .contents
/lib/cpp,file,21132,0751,3,0,534374007,common-installed-snapshot,base-dump-inventory,S8000-2.tar,lib/cpp,7b63d398dff774af8d81a5332d10e3b9dbc6f37ce1f599a75f75dc8ba2b7a04a,mode/uid/gid recovered from parent .contents
/lib/crt0.o,file,226,0644,3,0,469762923,common-installed-snapshot,base-dump-inventory,S8000-2.tar,lib/crt0.o,cf7e3630e99ae3da7cf133bcd6a10a0ac50cb618c5f4b5718df48f783d18aaa6,mode/uid/gid recovered from parent .contents
/lib/doprnt.o,file,6256,0644,3,0,469762956,common-installed-snapshot,base-dump-inventory,S8000-2.tar,lib/doprnt.o,46a0bb46e5f01def1d7f1bd24581efed9b271d8dc76383d060083f85da512d1a,mode/uid/gid recovered from parent .contents
/lib/ex2.13strings,file,5833,0644,3,0,469762912,common-installed-snapshot,base-dump-inventory,S8000-2.tar,lib/ex2.13strings,14c86e6022036a88beddb37167d451f6d34b0b50b242c7fc297cd9ee4eb3697d,mode/uid/gid recovered from parent .contents
/lib/libc.a,file,99980,0644,3,0,534374039,common-installed-snapshot,base-dump-inventory,S8000-2.tar,lib/libc.a,6c92c0b045ae25610b2f0a573facd080daf5b1f6fa5d055489f04d21ec09ea8c,mode/uid/gid recovered from parent .contents
/lib/libl.a,file,2458,0644,3,0,469763324,common-installed-snapshot,base-dump-inventory,S8000-2.tar,lib/libl.a,73ec3828a32e783b4201e6c677c30d8fed3f5befae6f2eddbd309ff5dc3ea944,mode/uid/gid recovered from parent .contents
/lib/libm.a,file,23526,0644,3,0,469762954,common-installed-snapshot,base-dump-inventory,S8000-2.tar,lib/libm.a,8dab40994c721d1ce1173dcc6bb36d3f3e0b59d39b205422bb060db606ae5ad4,mode/uid/gid recovered from parent .contents
/lib/liby.a,file,410,0644,3,0,469763324,common-installed-snapshot,base-dump-inventory,S8000-2.tar,lib/liby.a,7e037d303c0cc29b31f246519d0b587816e4239a8a119bd402c382053f9b3350,mode/uid/gid recovered from parent .contents
/lib/malloc.o,file,2644,0600,508,20,534374178,common-installed-snapshot,unclassified-installed-snapshot,S8000-2.tar,lib/malloc.o,6fa391c5eff1d837aa0820b60c9bea6fee150ac6163990c78ff259669cc490f5,metadata from modern tar wrapper
/lib/mcrt0.o,file,578,0644,3,0,469762955,common-installed-snapshot,base-dump-inventory,S8000-2.tar,lib/mcrt0.o,c215628a3eb032306da061e119642514886604b87ed47ad7aa2d7db4291f6440,mode/uid/gid recovered from parent .contents
/lib/popt,file,26366,0751,3,0,534374013,common-installed-snapshot,base-dump-inventory,S8000-2.tar,lib/popt,1a378677390ef18dcc006017ce5479e955ca19387a2d63a6c4f703e87e1b7fd3,mode/uid/gid recovered from parent .contents
/lib/scnvt.o,file,850,0644,3,0,469762913,common-installed-snapshot,base-dump-inventory,S8000-2.tar,lib/scnvt.o,43f63659f4937b36509addfc16c65daa19489ae5ee8b955af3888e297d42229a,mode/uid/gid recovered from parent .contents
